YEAR,MONTH,BENE_STATE_ABRVTN,BENE_STATE_DESC,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,ma_penetration
2013,March,NY,New York,3184988.0,2116907.0,1068081.0,0.3353485162267487
2013,March,NC,North Carolina,1646841.0,1309345.0,337496.0,0.20493538841940417
2013,March,ND,North Dakota,112814.0,97711.0,15103.0,0.13387522825181272
2013,March,OH,Ohio,2041542.0,1280798.0,760744.0,0.3726320594922857
2013,March,OK,Oklahoma,647132.0,541078.0,106054.0,0.16388310267457026
2013,March,OR,Oregon,691634.0,401467.0,290167.0,0.4195383685590934
2013,March,PA,Pennsylvania,2421640.0,1474001.0,947639.0,0.39132117077682893
2013,March,RI,Rhode Island,194154.0,125880.0,68274.0,0.3516486912450941
2013,March,SC,South Carolina,865605.0,692657.0,172948.0,0.19980013978662323
2013,March,SD,South Dakota,146040.0,125103.0,20937.0,0.14336483155299917
2013,March,TN,Tennessee,1159731.0,814645.0,345086.0,0.297556933461294
2013,March,TX,Texas,3350265.0,2444149.0,906116.0,0.27046099338410545
2013,March,UT,Utah,316594.0,212032.0,104562.0,0.33027157810950303
2013,March,VT,Vermont,122519.0,113605.0,8914.0,0.07275606232502714
2013,March,VA,Virginia,1256835.0,1065663.0,191172.0,0.15210588502070677
2013,March,WA,Washington,1087810.0,778229.0,309581.0,0.2845910591003944
2013,March,WV,West Virginia,401468.0,309008.0,92460.0,0.2303047814520709
2013,March,WI,Wisconsin,985061.0,655273.0,329788.0,0.3347894191324192
2013,March,WY,Wyoming,87692.0,84405.0,3287.0,0.03748346485426265
2013,March,AS,American Samoa,3731.0,3619.0,112.0,0.0300187617260788
2013,March,GU,Guam,13400.0,13348.0,52.0,0.003880597014925373
2013,March,MP,Northern Mariana Islands,1856.0,,,
2013,March,PR,Puerto Rico,704912.0,193191.0,511721.0,0.7259360033592845
2013,March,VI,Virgin Islands,17638.0,17495.0,143.0,0.008107495180859507
2013,March,UK,Unknown,,,,
2013,March,FO,Foreign and Other Outlying Areas,391471.0,389672.0,1799.0,0.0045954872774739385
2013,April,AL,Alabama,915964.0,707876.0,208088.0,0.22717923411837146
2013,April,AK,Alaska,75252.0,74672.0,580.0,0.007707436347206719
2013,April,AZ,Arizona,1042147.0,654782.0,387365.0,0.3716990021561258
